Tempo de execução: 147.061316 minutos
        Unnamed: 0  account_id  total_wins  total_matches  trueskill_mu  trueskill_sigma      score
0           158745   -74329252          31             33     48.825892         4.806721  46.422531
1           204236       87263          22             22     46.719826         5.305605  44.067023
2           122955      267666          19             21     45.400970         5.444964  42.678488
3           263162      189849          21             24     42.876096         4.807974  40.472108
4           239555       54644          40             46     42.170364         4.117418  40.111656
5           225004   -90610115          14             15     42.883514         5.751710  40.007659
6           143565        1543          49             59     41.757517         3.554011  39.980512
7            72091       80942          24             30     42.195134         4.445749  39.972259
8           129552       55155          27             31     42.384103         4.940770  39.913717
117318      197008      216772           1             10     11.965532         6.463271   8.733897


Score = 38.23
