Melhor score: 32.82889983443525
Melhor time:
        Unnamed: 0  account_id  ...  trueskill_mu  trueskill_sigma
85484       210822      178790  ...     35.319257         6.787314
40497       322370       30070  ...     36.271931         6.116496
97408       181364       13260  ...     34.957471         5.307990
7433        188189       16061  ...     36.196859         5.592756
117049      283735  -101868043  ...     37.777852         6.130268
34382        63354        9031  ...     36.080814         3.778827
42142       171668       45731  ...     37.487501         5.978030
43966       176221   -80366558  ...     33.367673         5.040866
38443        68014   -38959494  ...     33.696270         5.103341
105407      227398   -91360421  ...     35.231194         6.359759

[10 rows x 6 columns]
